TensDigit,Count
11111.0,38
11120.0,18
21110.0,17
11210.0,17
21101.0,16
12110.0,15
11021.0,15
11201.0,15
1112.0,14
10121.0,14
10211.0,13
21011.0,13
1121.0,13
2111.0,13
1211.0,13
11012.0,12
2102.0,11
21020.0,11
22010.0,11
12101.0,11
122.0,10
10112.0,10
21200.0,10
22001.0,10
12020.0,10
20021.0,9
10031.0,9
12011.0,9
11102.0,8
20201.0,8
20012.0,7
20120.0,7
2201.0,7
13001.0,7
10202.0,7
20210.0,6
3110.0,6
10013.0,6
12200.0,6
3101.0,6
10310.0,6
2120.0,6
1220.0,6
10220.0,5
11003.0,5
20111.0,5
13010.0,5
20102.0,5
10301.0,5
10022.0,5
30011.0,5
32000.0,5
212.0,5
2210.0,5
21002.0,4
113.0,4
31001.0,4
221.0,4
30110.0,4
1022.0,4
22100.0,4
1103.0,4
30101.0,4
1031.0,4
12002.0,4
2012.0,4
11030.0,4
3002.0,4
2021.0,3
1013.0,3
3020.0,3
20300.0,3
1310.0,3
30200.0,3
131.0,2
31100.0,2
31010.0,2
3011.0,2
2300.0,2
2030.0,2
20003.0,2
13100.0,2
311.0,2
10103.0,2
30002.0,1
23000.0,1
5.0,1
20030.0,1
11300.0,1
14.0,1
10004.0,1
4100.0,1
2003.0,1
1301.0,1
1130.0,1
302.0,1
203.0,1
140.0,1
104.0,1
32.0,1
23.0,1
40001.0,1
